機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","潮美藥局","屏東縣","潮州鎮","蓬榮街26號","林玉梅","女","87895388","Y"
"開業","123宅藥局","臺北市","大同區","鄭州路123號(1樓)","翟晉德","男","","Y"
"開業","123健康藥局","臺北市","文山區","興隆路2段220巷31弄26號","陳昱旭","男","86632673",""
"開業","1O1藥師聯合藥局","桃園市","龍潭區","中正路44號","呂學毅","男","34708593","Y"
"開業","71恩典藥局","臺北市","中正區","信義路二段71號","洪增陽","男","23223371","Y"
"開業","927藥局","臺中市","西屯區","國安一路53號1樓","王禹力","男","424626680","Y"
"開業","A好藥局","高雄市","左營區","榮成一街26號","黃麗汶","女","3422329",""
"開業","OK藥師藥局","臺北市","中山區","興安街95號","呂發財","男","25170068","Y"
"開業","ㄚㄚ藥局","高雄市","楠梓區","後昌路776號1F","洪秋香","女","073658820","N"
"開業","一乙堂藥局","高雄市","鳳山區","中正里博愛路206號","蔡蕙璞","女","077020542、7020542","N"
"開業","一二藥局","屏東縣","屏東市","廣東路1094號","張峻榮","男","7324688","Y"
"開業","一大藥局","新北市","三峽區","橫溪路23號1樓","李美女","女","","Y"
"開業","一仁藥局","高雄市","鳳山區","自由路200號","張仁獻","男","077425004","Y"
"開業","一元藥局","雲林縣","西螺鎮","福興路175號","廖明科","男","055863268","Y"
"開業","一心春天藥局","新北市","新莊區","中和街13號1樓","陳名琪","女","289929482","Y"
"開業","一心堂藥局","高雄市","鳳山區","五甲二路５２３號","曾金章","男","078213971","Y"
"開業","一心藥局","臺北市","大安區","和平東路3段238號","羅靖騰","男","27321818","Y"
"開業","一心藥局","臺中市","東區","力行路四十二之一號一樓","蕭榮彥","男","423609012","Y"
"開業","一心藥局","新北市","土城區","學府路一段236號(1樓)","余家富","男","(02)22630110、0918952033","Y"
"開業","一心藥局","桃園市","中壢區","環北路184號2樓","鄭淑卿","女","34250560","Y"
"開業","一心藥局","苗栗縣","西湖鄉","店仔街42號","黃淑琴","女","37920868","Y"
"開業","一心藥局","彰化縣","溪湖鎮","大突里大公路193號","莊依菁","女","48851376","Y"
"開業","一心藥局","嘉義縣","中埔鄉","富收村頂中下街31、31-1號1樓","陳靖雯","女","52303553","Y"
"開業","一心藥局","屏東縣","潮州鎮","育英路17─1號","林榮章","男","87889789","Y"
