年別,首站抵達地,細分,12歲以下,13歲至19歲,20至29歲,30至39歲,40至49歲,50至59歲,60歲及以上,合計
2013,亞洲地區,日本 Japan,166547.00 ,114948.00 ,378437.00 ,597575.00 ,418801.00 ,360735.00 ,308964.00 ,2346007.00 
2013,亞洲地區,韓國 Korea,29706.00 ,30487.00 ,119028.00 ,145267.00 ,89337.00 ,60537.00 ,44166.00 ,518528.00 
2013,亞洲地區,香港 Hong Kong,100010.00 ,61381.00 ,280934.00 ,549102.00 ,470379.00 ,372128.00 ,204798.00 ,2038732.00 
2013,亞洲地區,中國大陸 China,128418.00 ,64462.00 ,217116.00 ,599334.00 ,776525.00 ,770920.00 ,515552.00 ,3072327.00 
2013,亞洲地區,澳門 Macao,21394.00 ,14451.00 ,65094.00 ,120008.00 ,120055.00 ,107805.00 ,65894.00 ,514701.00 
2013,亞洲地區,越南 Vietnam,31145.00 ,7793.00 ,29895.00 ,83352.00 ,74348.00 ,81959.00 ,53465.00 ,361957.00 
2013,亞洲地區,泰國 Thailand,21648.00 ,20356.00 ,106414.00 ,135260.00 ,96313.00 ,77036.00 ,50589.00 ,507616.00 
2013,亞洲地區,馬來西亞 Malaysia,14034.00 ,11174.00 ,40109.00 ,52776.00 ,44990.00 ,36713.00 ,27123.00 ,226919.00 
2013,亞洲地區,新加坡 Singapore,23690.00 ,16247.00 ,56988.00 ,74636.00 ,57667.00 ,39688.00 ,28672.00 ,297588.00 
2013,亞洲地區,菲律賓 Philippines,6669.00 ,4790.00 ,27498.00 ,35407.00 ,24458.00 ,18875.00 ,11664.00 ,129361.00 
2013,亞洲地區,汶萊 Brunei,148.00 ,38.00 ,217.00 ,408.00 ,418.00 ,541.00 ,641.00 ,2411.00 
2013,亞洲地區,印尼 Indonesia,10476.00 ,6390.00 ,31407.00 ,47538.00 ,31982.00 ,23543.00 ,15042.00 ,166378.00 
2013,亞洲地區,柬埔寨 Cambodia,1504.00 ,1531.00 ,6634.00 ,11704.00 ,11966.00 ,15917.00 ,12082.00 ,61338.00 
2013,亞洲地區,緬甸 Myanmar,1087.00 ,563.00 ,1486.00 ,3876.00 ,5578.00 ,6287.00 ,4987.00 ,23864.00 
2013,亞洲地區,阿拉伯聯合大公國 UAE,0.00 ,0.00 ,0.00 ,3.00 ,6.00 ,5.00 ,0.00 ,14.00 
2013,亞洲地區,土耳其 Turkey,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2013,亞洲地區,亞洲其他 Others,396.00 ,1744.00 ,19600.00 ,40885.00 ,27236.00 ,20950.00 ,10385.00 ,121196.00 
2013,亞洲地區,亞洲合計 Total,556872.00 ,356355.00 ,1380857.00 ,2497131.00 ,2250059.00 ,1993639.00 ,1354024.00 ,10388937.00 
2013,非洲地區,南非 S. Africa,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,2.00 
2013,非洲地區,非洲其他 Others,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,9.00 ,12.00 
2013,非洲地區,非洲合計 Total,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,11.00 ,14.00 
2013,美洲地區,美國 USA,19066.00 ,19093.00 ,52391.00 ,79292.00 ,67167.00 ,70184.00 ,74181.00 ,381374.00 
2013,美洲地區,加拿大 Canada,3119.00 ,5338.00 ,8186.00 ,7944.00 ,9899.00 ,15733.00 ,14867.00 ,65086.00 
2013,美洲地區,美洲其他 Others,1.00 ,1.00 ,27.00 ,27.00 ,39.00 ,29.00 ,11.00 ,135.00 
2013,美洲地區,美洲合計 Total,22186.00 ,24432.00 ,60604.00 ,87263.00 ,77105.00 ,85946.00 ,89059.00 ,446595.00 
2013,大洋洲地區,澳洲 Australia,3767.00 ,4908.00 ,10934.00 ,12802.00 ,10701.00 ,13590.00 ,13122.00 ,69824.00 
2013,大洋洲地區,紐西蘭 New Zealand,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,3.00 ,0.00 ,6.00 
2013,大洋洲地區,帛琉 Palau,1592.00 ,2091.00 ,6603.00 ,7985.00 ,5108.00 ,2604.00 ,1181.00 ,27164.00 
2013,大洋洲地區,大洋洲其他 Others,0.00 ,0.00 ,7.00 ,12.00 ,33.00 ,31.00 ,43.00 ,126.00 
2013,大洋洲地區,大洋洲合計 Total,5359.00 ,6999.00 ,17545.00 ,20800.00 ,15843.00 ,16228.00 ,14346.00 ,97120.00 
2013,歐洲地區,法國 France,990.00 ,1328.00 ,4667.00 ,9697.00 ,7504.00 ,5755.00 ,3059.00 ,33000.00 
2013,歐洲地區,德國 Germany,1139.00 ,1466.00 ,5388.00 ,11038.00 ,8931.00 ,8366.00 ,4794.00 ,41122.00 
2013,歐洲地區,義大利 Italy,0.00 ,0.00 ,1.00 ,26.00 ,21.00 ,14.00 ,8.00 ,70.00 
2013,歐洲地區,荷蘭 Netherlands,801.00 ,1087.00 ,3787.00 ,6062.00 ,4733.00 ,3554.00 ,2078.00 ,22102.00 
2013,歐洲地區,英國 U.K.,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 
2013,歐洲地區,瑞士 Switzerland,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2013,歐洲地區,奧地利 Austria,485.00 ,844.00 ,2670.00 ,5702.00 ,4462.00 ,5235.00 ,4089.00 ,23487.00 
2013,歐洲地區,歐洲其他 Others,0.00 ,0.00 ,1.00 ,6.00 ,3.00 ,3.00 ,5.00 ,18.00 
2013,歐洲地區,歐洲合計 Total,3415.00 ,4725.00 ,16514.00 ,32532.00 ,25654.00 ,22927.00 ,14033.00 ,119800.00 
2013,全區,其他 Others,0.00 ,2.00 ,86.00 ,66.00 ,74.00 ,123.00 ,91.00 ,442.00 
2013,全區,總計 Grand Total,587832.00 ,392513.00 ,1475606.00 ,2637793.00 ,2368735.00 ,2118865.00 ,1471564.00 ,11052908.00 
2014,亞洲地區,日本 Japan,217428.00 ,138599.00 ,491239.00 ,760389.00 ,525107.00 ,451443.00 ,387641.00 ,2971846.00 
2014,亞洲地區,韓國 Korea,33551.00 ,35637.00 ,148893.00 ,185206.00 ,110601.00 ,68019.00 ,44787.00 ,626694.00 
2014,亞洲地區,香港 Hong Kong,98794.00 ,61444.00 ,283264.00 ,525585.00 ,461148.00 ,371743.00 ,216151.00 ,2018129.00 
2014,亞洲地區,中國大陸 China,135106.00 ,69359.00 ,233303.00 ,621951.00 ,810127.00 ,820370.00 ,577022.00 ,3267238.00 
2014,亞洲地區,澳門 Macao,20643.00 ,13717.00 ,66528.00 ,116497.00 ,112063.00 ,99741.00 ,63999.00 ,493188.00 
2014,亞洲地區,越南 Vietnam,28536.00 ,7566.00 ,26473.00 ,85627.00 ,70392.00 ,72799.00 ,47714.00 ,339107.00 
2014,亞洲地區,泰國 Thailand,16904.00 ,14610.00 ,82569.00 ,111773.00 ,80378.00 ,67063.00 ,45836.00 ,419133.00 
2014,亞洲地區,馬來西亞 Malaysia,12251.00 ,8703.00 ,38047.00 ,46861.00 ,37988.00 ,31892.00 ,23160.00 ,198902.00 
2014,亞洲地區,新加坡 Singapore,20973.00 ,13705.00 ,55562.00 ,72426.00 ,55512.00 ,39003.00 ,26744.00 ,283925.00 
2014,亞洲地區,菲律賓 Philippines,6254.00 ,5399.00 ,30578.00 ,35082.00 ,25589.00 ,18980.00 ,11701.00 ,133583.00 
2014,亞洲地區,汶萊 Brunei,25.00 ,15.00 ,36.00 ,37.00 ,35.00 ,65.00 ,85.00 ,298.00 
2014,亞洲地區,印尼 Indonesia,10732.00 ,6647.00 ,32732.00 ,48105.00 ,32359.00 ,23816.00 ,15910.00 ,170301.00 
2014,亞洲地區,柬埔寨 Cambodia,1660.00 ,1833.00 ,7487.00 ,14220.00 ,14289.00 ,17158.00 ,12548.00 ,69195.00 
2014,亞洲地區,緬甸 Myanmar,1022.00 ,596.00 ,1562.00 ,3809.00 ,5391.00 ,5810.00 ,4627.00 ,22817.00 
2014,亞洲地區,阿拉伯聯合大公國 UAE,1215.00 ,1906.00 ,10425.00 ,15446.00 ,10036.00 ,11300.00 ,10946.00 ,61274.00 
2014,亞洲地區,土耳其 Turkey,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2014,亞洲地區,亞洲其他 Others,349.00 ,606.00 ,2557.00 ,6957.00 ,3592.00 ,3611.00 ,2362.00 ,20034.00 
2014,亞洲地區,亞洲合計 Total,605443.00 ,380342.00 ,1511255.00 ,2649971.00 ,2354607.00 ,2102813.00 ,1491233.00 ,11095664.00 
2014,非洲地區,南非 S. Africa,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,4.00 ,8.00 
2014,非洲地區,非洲其他 Others,0.00 ,0.00 ,0.00 ,4.00 ,0.00 ,1.00 ,0.00 ,5.00 
2014,非洲地區,非洲合計 Total,0.00 ,0.00 ,0.00 ,4.00 ,0.00 ,5.00 ,4.00 ,13.00 
2014,美洲地區,美國 USA,21363.00 ,20142.00 ,56405.00 ,86292.00 ,74394.00 ,77831.00 ,88711.00 ,425138.00 
2014,美洲地區,加拿大 Canada,3368.00 ,5411.00 ,8809.00 ,8528.00 ,10175.00 ,17081.00 ,16913.00 ,70285.00 
2014,美洲地區,美洲其他 Others,0.00 ,0.00 ,15.00 ,14.00 ,6.00 ,9.00 ,12.00 ,56.00 
2014,美洲地區,美洲合計 Total,24731.00 ,25553.00 ,65229.00 ,94834.00 ,84575.00 ,94921.00 ,105636.00 ,495479.00 
2014,大洋洲地區,澳洲 Australia,4910.00 ,5818.00 ,12280.00 ,16037.00 ,13720.00 ,16909.00 ,16071.00 ,85745.00 
2014,大洋洲地區,紐西蘭 New Zealand,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2014,大洋洲地區,帛琉 Palau,1780.00 ,2272.00 ,7527.00 ,8963.00 ,5872.00 ,2872.00 ,1185.00 ,30471.00 
2014,大洋洲地區,大洋洲其他 Others,0.00 ,0.00 ,3.00 ,19.00 ,29.00 ,35.00 ,40.00 ,126.00 
2014,大洋洲地區,大洋洲合計 Total,6690.00 ,8090.00 ,19810.00 ,25019.00 ,19621.00 ,19816.00 ,17296.00 ,116342.00 
2014,歐洲地區,法國 France,1303.00 ,1182.00 ,5738.00 ,11948.00 ,8636.00 ,6657.00 ,3662.00 ,39126.00 
2014,歐洲地區,德國 Germany,1292.00 ,1600.00 ,5726.00 ,11475.00 ,9771.00 ,8954.00 ,5433.00 ,44251.00 
2014,歐洲地區,義大利 Italy,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2014,歐洲地區,荷蘭 Netherlands,821.00 ,1001.00 ,3733.00 ,6498.00 ,4881.00 ,3615.00 ,2200.00 ,22749.00 
2014,歐洲地區,英國 U.K.,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2014,歐洲地區,瑞士 Switzerland,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2014,歐洲地區,奧地利 Austria,553.00 ,967.00 ,2591.00 ,5965.00 ,5069.00 ,6006.00 ,5105.00 ,26256.00 
2014,歐洲地區,歐洲其他 Others,25.00 ,55.00 ,100.00 ,143.00 ,210.00 ,301.00 ,461.00 ,1295.00 
2014,歐洲地區,歐洲合計 Total,3994.00 ,4805.00 ,17888.00 ,36029.00 ,28567.00 ,25533.00 ,16861.00 ,133677.00 
2014,全區,其他 Others,6.00 ,94.00 ,357.00 ,849.00 ,913.00 ,810.00 ,431.00 ,3460.00 
2014,全區,總計 Grand Total,640864.00 ,418884.00 ,1614539.00 ,2806706.00 ,2488283.00 ,2243898.00 ,1631461.00 ,11844635.00 
2015,亞洲地區,日本 Japan,300012.00 ,183722.00 ,634057.00 ,966968.00 ,674452.00 ,555082.00 ,483586.00 ,3797879.00 
2015,亞洲地區,韓國 Korea,24416.00 ,21925.00 ,108172.00 ,148027.00 ,92221.00 ,62018.00 ,43321.00 ,500100.00 
2015,亞洲地區,香港 Hong Kong,96528.00 ,60014.00 ,285900.00 ,504567.00 ,455877.00 ,370350.00 ,234917.00 ,2008153.00 
2015,亞洲地區,中國大陸 China,139362.00 ,73070.00 ,249473.00 ,623209.00 ,825775.00 ,856680.00 ,636351.00 ,3403920.00 
2015,亞洲地區,澳門 Macao,23566.00 ,14739.00 ,75675.00 ,125842.00 ,116691.00 ,101954.00 ,68677.00 ,527144.00 
2015,亞洲地區,越南 Vietnam,32086.00 ,12094.00 ,29998.00 ,101931.00 ,85388.00 ,87509.00 ,60007.00 ,409013.00 
